beta,dropout,epochs,pos_mse,pos_mae,rot_mse,rot_mae
0.2,0.3,4,1.47795850335801,0.965336342276514,0.24752936041025,0.391870165705931
0.2,0.3,8,0.460355414180505,0.428286251418021,0.096180596242445,0.225741270855317
0.2,0.3,12,0.541788931869848,0.621701018773644,0.082862607647388,0.194758351702039
0.2,0.6,4,0.55256226743181,0.518226458583258,0.120566709298125,0.259910167463335
0.2,0.6,8,0.373580288584396,0.447341669315912,0.123443257774691,0.253515173068974
0.2,0.6,12,0.489576151610069,0.54813439079521,0.097722455956708,0.202829564269814
0.5,0.3,4,0.655496534162133,0.616817586799385,0.144208027190368,0.303771923135204
0.5,0.3,8,1.62318276170335,1.06258976534514,0.131758617265865,0.253494624729508
0.5,0.3,12,0.283732540401515,0.402460484647498,0.080004826028937,0.198932679736261
0.5,0.6,4,0.762880888635692,0.672338106881032,0.146759571789585,0.273215372621502
0.5,0.6,8,0.328342356034676,0.411693232048507,0.095872848646403,0.231697157795001
0.5,0.6,12,0.270527286740548,0.343188615650076,0.061522824127239,0.158110419119069
0.8,0.3,4,1.32616590056623,0.870212418176769,0.192423200148596,0.350616592494466
0.8,0.3,8,0.498254915837813,0.488536251415826,0.108577108375944,0.237206167599274
0.8,0.3,12,0.580747884951336,0.527863880454882,0.086373702473297,0.181647844846681
0.8,0.6,4,1.08960451225742,0.878731741988258,0.102303601396754,0.207945439235602
0.8,0.6,8,0.476322712477204,0.544198954178464,0.094704427072304,0.159171998630295
0.8,0.6,12,0.336636774774838,0.456922106509757,0.127634930886223,0.247764910656677
,,,,,,
,,,,,,
,time,20’ 10’’,,,,
,,1210,201.666666666667,,,
,,,,,,
,batch_size,16,,,,
